Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGHUN10D,Hungary 10-year Government Bond Yield,Government Bond Yields,Hungary Forint,Hungary,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1999 To Dec 2000<BR>Daily From Jan 2001 To Sep 2023<BR>,"Source: Magyar Nemzeti Bank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced. Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format. ",
Date,Ticker,High,Close,Annual_Percent_Change
08/31/2008,IGHUN10D,7.93,7.93,17.4814814814815
09/30/2008,IGHUN10D,8.29,8.17,23.4138972809668
10/31/2008,IGHUN10D,10.78,9.79,49.2378048780488
11/30/2008,IGHUN10D,9.96,8.86,29.7218155197657
12/31/2008,IGHUN10D,8.88,8.28,16.9491525423729
01/31/2009,IGHUN10D,9.66,9.66,34.1666666666667
02/28/2009,IGHUN10D,11.84,10.85,50.6944444444444
03/31/2009,IGHUN10D,12.47,12.25,43.107476635514
04/30/2009,IGHUN10D,11.92,10.26,26.6666666666667
05/31/2009,IGHUN10D,10.48,9.97,23.0864197530864
06/30/2009,IGHUN10D,10.44,9.74,14.5882352941176
07/31/2009,IGHUN10D,9.55,8.53,9.21895006402048
08/31/2009,IGHUN10D,8.7,8.14,2.64817150063053
09/30/2009,IGHUN10D,8.26,7.63,-6.60954712362301
10/31/2009,IGHUN10D,7.84,7.38,-24.6169560776302
11/30/2009,IGHUN10D,7.7,7.46,-15.8013544018059
12/31/2009,IGHUN10D,7.99,7.99,-3.50241545893719
01/31/2010,IGHUN10D,7.96,7.66,-20.703933747412
02/28/2010,IGHUN10D,7.92,7.51,-30.7834101382488
03/31/2010,IGHUN10D,7.46,6.86,-44
04/30/2010,IGHUN10D,6.8,6.62,-35.4775828460039
05/31/2010,IGHUN10D,7.47,7.23,-27.4824473420261
06/30/2010,IGHUN10D,8.11,7.69,-21.047227926078
07/31/2010,IGHUN10D,7.65,7.24,-15.1230949589683
08/31/2010,IGHUN10D,7.62,7.62,-6.38820638820639
09/30/2010,IGHUN10D,7.47,6.79,-11.0091743119266
10/31/2010,IGHUN10D,7.14,7.03,-4.74254742547425
11/30/2010,IGHUN10D,8.44,8.44,13.1367292225201
12/31/2010,IGHUN10D,8.18,7.95,-0.500625782227785
01/31/2011,IGHUN10D,8.17,7.32,-4.43864229765013
02/28/2011,IGHUN10D,7.52,7.25,-3.46205059920106
03/31/2011,IGHUN10D,7.48,7.19,4.81049562682216
04/30/2011,IGHUN10D,7.19,7,5.74018126888217
05/31/2011,IGHUN10D,7.23,7.19,-0.553250345781467
06/30/2011,IGHUN10D,7.46,7.31,-4.94148244473343
07/31/2011,IGHUN10D,7.5,7.5,3.59116022099447
08/31/2011,IGHUN10D,8.03,7.35,-3.54330708661418
09/30/2011,IGHUN10D,8.32,8.14,19.8821796759941
10/31/2011,IGHUN10D,8.46,7.79,10.8108108108108
11/30/2011,IGHUN10D,9.56,8.92,5.6872037914692
12/31/2011,IGHUN10D,9.79,9.75,22.6415094339623
01/31/2012,IGHUN10D,10.69,8.89,21.448087431694
02/29/2012,IGHUN10D,8.88,8.57,18.2068965517241
03/31/2012,IGHUN10D,9.06,9.06,26.0083449235049
04/30/2012,IGHUN10D,9.04,7.98,14
05/31/2012,IGHUN10D,8.71,8.71,21.1404728789986
06/30/2012,IGHUN10D,8.95,7.9,8.07113543091656
07/31/2012,IGHUN10D,7.91,7.37,-1.73333333333333
08/31/2012,IGHUN10D,7.42,7.25,-1.36054421768707
09/30/2012,IGHUN10D,7.47,7.24,-11.0565110565111
10/31/2012,IGHUN10D,7.39,6.88,-11.6816431322208
11/30/2012,IGHUN10D,6.95,6.82,-23.542600896861
12/31/2012,IGHUN10D,6.84,6.23,-36.1025641025641
01/31/2013,IGHUN10D,6.45,6.34,-28.6839145106862
02/28/2013,IGHUN10D,6.46,6.25,-29.6962879640045
03/31/2013,IGHUN10D,6.62,6.39,-29.4701986754967
04/30/2013,IGHUN10D,6.39,5.32,-33.3333333333333
05/31/2013,IGHUN10D,5.64,5.64,-35.2468427095293
06/30/2013,IGHUN10D,6.75,6.12,-22.5316455696203
07/31/2013,IGHUN10D,6.41,6.41,-13.0257801899593
08/31/2013,IGHUN10D,6.64,6.58,-9.24137931034483
09/30/2013,IGHUN10D,6.73,5.83,-19.475138121547
10/31/2013,IGHUN10D,5.8,5.45,-20.7848837209302
11/30/2013,IGHUN10D,6.07,6.07,-10.9970674486804
12/31/2013,IGHUN10D,6.07,5.71,-8.34670947030498
01/31/2014,IGHUN10D,6.2,6.2,-2.20820189274447
02/28/2014,IGHUN10D,6.21,6.01,-3.84
03/31/2014,IGHUN10D,6.11,5.54,-13.302034428795
04/30/2014,IGHUN10D,5.68,5.35,0.563909774436078
05/31/2014,IGHUN10D,5.45,4.71,-16.4893617021277
06/30/2014,IGHUN10D,4.79,4.39,-28.2679738562092
07/31/2014,IGHUN10D,4.73,4.73,-26.2090483619345
08/31/2014,IGHUN10D,5.18,4.45,-32.370820668693
09/30/2014,IGHUN10D,4.84,4.63,-20.5831903945112
10/31/2014,IGHUN10D,4.65,3.9,-28.4403669724771
11/30/2014,IGHUN10D,3.86,3.52,-42.0098846787479
12/31/2014,IGHUN10D,3.98,3.69,-35.3765323992995
01/31/2015,IGHUN10D,3.69,2.88,-53.5483870967742
02/28/2015,IGHUN10D,3.46,3.01,-49.9168053244592
03/31/2015,IGHUN10D,3.68,3.36,-39.3501805054152
04/30/2015,IGHUN10D,3.45,3.45,-35.5140186915888
05/31/2015,IGHUN10D,3.92,3.53,-25.0530785562633
06/30/2015,IGHUN10D,4.31,4,-8.88382687927106
07/31/2015,IGHUN10D,4.02,3.84,-18.816067653277
08/31/2015,IGHUN10D,3.86,3.77,-15.2808988764045
09/30/2015,IGHUN10D,3.8,3.38,-26.9978401727862
10/31/2015,IGHUN10D,3.48,3.45,-11.5384615384615
11/30/2015,IGHUN10D,3.55,3.39,-3.69318181818181
12/31/2015,IGHUN10D,3.78,3.42,-7.31707317073171
01/31/2016,IGHUN10D,3.72,3.64,26.3888888888889
02/29/2016,IGHUN10D,3.59,3.37,11.9601328903655
03/31/2016,IGHUN10D,3.39,3,-10.7142857142857
04/30/2016,IGHUN10D,3.42,3.42,-0.869565217391311
05/31/2016,IGHUN10D,3.53,3.48,-1.41643059490084
06/30/2016,IGHUN10D,3.52,3.23,-19.25
07/31/2016,IGHUN10D,3.22,2.91,-24.21875
08/31/2016,IGHUN10D,3.01,2.93,-22.2811671087533
09/30/2016,IGHUN10D,3.09,2.97,-12.1301775147929
10/31/2016,IGHUN10D,3.1,3.08,-10.7246376811594
11/30/2016,IGHUN10D,3.73,3.47,2.35988200589971
12/31/2016,IGHUN10D,3.63,3.26,-4.67836257309942
01/31/2017,IGHUN10D,3.59,3.58,-1.64835164835165
02/28/2017,IGHUN10D,3.69,3.5,-3.84615384615385
03/31/2017,IGHUN10D,3.73,3.41,13.6666666666667
04/30/2017,IGHUN10D,3.42,3.36,-1.75438596491228
05/31/2017,IGHUN10D,3.34,3.13,-10.0574712643678
06/30/2017,IGHUN10D,3.16,3.16,-2.1671826625387
07/31/2017,IGHUN10D,3.3,3.2,9.96563573883162
08/31/2017,IGHUN10D,3.23,3.05,4.09556313993173
09/30/2017,IGHUN10D,3.06,2.67,-10.1010101010101
10/31/2017,IGHUN10D,2.81,2.52,-18.1818181818182
11/30/2017,IGHUN10D,2.56,2.19,-36.8876080691643
12/31/2017,IGHUN10D,2.23,2.09,-35.8895705521472
01/31/2018,IGHUN10D,2.35,2.35,-34.3575418994413
02/28/2018,IGHUN10D,2.75,2.65,-24.2857142857143
03/31/2018,IGHUN10D,2.78,2.46,-27.8592375366569
04/30/2018,IGHUN10D,2.64,2.59,-22.9166666666667
05/31/2018,IGHUN10D,3.29,3.23,3.19488817891374
06/30/2018,IGHUN10D,3.67,3.67,16.1392405063291
07/31/2018,IGHUN10D,3.83,3.31,3.4375
08/31/2018,IGHUN10D,3.68,3.53,15.7377049180328
09/30/2018,IGHUN10D,3.8,3.62,35.5805243445693
10/31/2018,IGHUN10D,3.99,3.73,48.015873015873
11/30/2018,IGHUN10D,3.76,3.21,46.5753424657534
12/31/2018,IGHUN10D,3.32,3.32,58.8516746411483
01/31/2019,IGHUN10D,3.04,2.81,19.5744680851064
02/28/2019,IGHUN10D,2.82,2.77,4.52830188679246
03/31/2019,IGHUN10D,3.31,2.94,19.5121951219512
04/30/2019,IGHUN10D,3.35,3.35,29.3436293436294
05/31/2019,IGHUN10D,3.41,3.03,-6.19195046439629
06/30/2019,IGHUN10D,2.97,2.7,-26.4305177111717
07/31/2019,IGHUN10D,2.68,2.35,-29.0030211480363
08/31/2019,IGHUN10D,2.33,1.97,-44.1926345609065
09/30/2019,IGHUN10D,2.33,2.04,-43.646408839779
10/31/2019,IGHUN10D,2.13,1.96,-47.4530831099196
11/30/2019,IGHUN10D,2.25,1.93,-39.8753894080997
12/31/2019,IGHUN10D,2.08,2.015,-39.3072289156626
01/31/2020,IGHUN10D,2.29,2.14,-23.8434163701068
02/29/2020,IGHUN10D,2.41,2.25,-18.7725631768953
03/31/2020,IGHUN10D,3.39,2.6,-11.5646258503401
04/30/2020,IGHUN10D,2.96,1.95,-41.7910447761194
05/31/2020,IGHUN10D,2.25,1.98,-34.6534653465347
06/30/2020,IGHUN10D,2.43,2.22,-17.7777777777778
07/31/2020,IGHUN10D,2.51,2.15,-8.51063829787235
08/31/2020,IGHUN10D,2.39,2.37,20.3045685279188
09/30/2020,IGHUN10D,2.59,2.5,22.5490196078431
10/31/2020,IGHUN10D,2.43,2.33,18.8775510204082
11/30/2020,IGHUN10D,2.34,2.26,17.0984455958549
12/31/2020,IGHUN10D,2.32,2.15,6.69975186104217
01/31/2021,IGHUN10D,2.42,2.38,11.214953271028
02/28/2021,IGHUN10D,2.79,2.73,27.5700934579439
03/31/2021,IGHUN10D,2.91,2.78,6.92307692307691
04/30/2021,IGHUN10D,2.82,2.82,44.6153846153846
05/31/2021,IGHUN10D,3.29,2.98,50.5050505050505
06/30/2021,IGHUN10D,3.04,2.9,30.6306306306306
07/31/2021,IGHUN10D,2.97,2.93,36.2790697674419
08/31/2021,IGHUN10D,3.3,3.01,27.0042194092827
09/30/2021,IGHUN10D,3.37,3.3,32
10/31/2021,IGHUN10D,4,4,71.6738197424893
11/30/2021,IGHUN10D,4.68,4.41,95.1327433628319
12/31/2021,IGHUN10D,4.65,4.58,113.023255813954
01/31/2022,IGHUN10D,4.96,4.96,108.403361344538
02/28/2022,IGHUN10D,5.32,5.32,94.8717948717949
03/31/2022,IGHUN10D,6.66,6.05,117.625899280576
04/30/2022,IGHUN10D,7.01,7.01,148.581560283688
05/31/2022,IGHUN10D,7.66,7.3,144.96644295302
06/30/2022,IGHUN10D,8.71,8.16,181.379310344828
07/31/2022,IGHUN10D,9.085,8.175,179.01023890785
08/31/2022,IGHUN10D,9.02,8.98,198.338870431894
09/30/2022,IGHUN10D,9.85,9.775,196.212121212121
10/31/2022,IGHUN10D,11.08,10.23,155.75
11/30/2022,IGHUN10D,10.69,8.33,88.8888888888889
12/31/2022,IGHUN10D,9.37,9.25,101.965065502183
01/31/2023,IGHUN10D,9.23,8.1,63.3064516129032
02/28/2023,IGHUN10D,8.96,8.7,63.5338345864661
03/31/2023,IGHUN10D,8.93,8.59,41.9834710743802
04/30/2023,IGHUN10D,8.88,7.93,13.1241084165478
05/31/2023,IGHUN10D,8.19,8.04,10.1369863013699
06/30/2023,IGHUN10D,7.86,7.13,-12.6225490196078
07/31/2023,IGHUN10D,7.54,7.38,-9.72477064220184
08/31/2023,IGHUN10D,7.7,7.14,-20.4899777282851
09/30/2023,IGHUN10D,7.37,7.37,-24.6035805626599
