Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGROU10D,Romania 10-year Government Bond Yield,Government Bond Yields,Romania New Leu,Romania,,,,,,,Percent per Annum,Units,Stock,NA ,Annual From Dec 2001 To May 2002<BR>Monthly From Jun 2002 To Dec 2007<BR>Daily From Jan 2008 To Jun 2023<BR>,,
Date,Ticker,Close
09/30/2019,IGROU10D,4
10/31/2019,IGROU10D,4.12
11/30/2019,IGROU10D,4.57
12/31/2019,IGROU10D,4.419
01/31/2020,IGROU10D,4.11
02/29/2020,IGROU10D,4.02
03/31/2020,IGROU10D,4.89
04/30/2020,IGROU10D,4.74
05/31/2020,IGROU10D,3.97
06/30/2020,IGROU10D,3.75
07/31/2020,IGROU10D,3.76
08/31/2020,IGROU10D,3.63
09/30/2020,IGROU10D,3.35
10/31/2020,IGROU10D,3.27
11/30/2020,IGROU10D,3.285
12/31/2020,IGROU10D,2.98
01/31/2021,IGROU10D,2.75
02/28/2021,IGROU10D,3.34
03/31/2021,IGROU10D,3.02
04/30/2021,IGROU10D,2.93
05/31/2021,IGROU10D,3.17
06/30/2021,IGROU10D,3.26
07/31/2021,IGROU10D,3.59
08/31/2021,IGROU10D,3.74
09/30/2021,IGROU10D,4.04
10/31/2021,IGROU10D,4.84
11/30/2021,IGROU10D,5.535
12/31/2021,IGROU10D,5.095
01/31/2022,IGROU10D,5.33
02/28/2022,IGROU10D,5.84
03/31/2022,IGROU10D,5.99
04/30/2022,IGROU10D,7.145
05/31/2022,IGROU10D,7.82
06/30/2022,IGROU10D,8.7
07/31/2022,IGROU10D,7.95
08/31/2022,IGROU10D,7.85
09/30/2022,IGROU10D,8.43
10/31/2022,IGROU10D,8.91
11/30/2022,IGROU10D,7.96
12/31/2022,IGROU10D,8.09
01/31/2023,IGROU10D,7.1
02/28/2023,IGROU10D,7.73
03/31/2023,IGROU10D,7.28
04/30/2023,IGROU10D,7.26
05/31/2023,IGROU10D,6.98
06/30/2023,IGROU10D,6.93
