,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
171,2023-02-03,12275.89,12174.972,10184.442723999933,18498.469321100034,136.00907808341336
172,2023-02-02,12260.18,12169.6495,8195.771430250137,18661.94858851254,136.60874272356267
173,2023-02-01,12168.16,12159.8925,68.3515562499988,18253.288142000038,135.1047302724817
174,2023-01-31,12139.42,12152.161499999998,162.34582224995586,18372.162888200026,135.5439518687574
175,2023-01-30,12123.71,12128.367,21.687649000009895,26166.2238747,161.7597721150101
176,2023-01-27,12185.79,12103.009000000002,6852.693960999841,36082.415972250026,189.9537206064941
177,2023-01-26,12228.21,12080.172,21915.2494439996,41136.806416650026,202.82210534517688
178,2023-01-25,12182.86,12077.9045,11015.656980250005,40928.455669762545,202.30782404485137
179,2023-01-23,12179.49,12076.1175,10685.873756249895,41194.78135736256,202.96497569128167
180,2023-01-20,12075.72,12075.2695,0.20295024999910843,42147.04980736259,205.29746663649456
181,2023-01-19,12090.52,12084.5345,35.82621025000819,46679.82917390011,216.05515308342012
182,2023-01-18,12077.21,12090.0,163.58410000002235,50281.32141090013,224.2349691972689
183,2023-01-17,11959.91,12091.175500000001,17230.63149025035,52179.651087412625,228.42865644969464
184,2023-01-16,11970.98,12091.3285,14483.761452250013,51611.7388525126,227.18217107095487
185,2023-01-13,12227.35,12088.506000000001,19277.65633599976,50983.247342512615,225.79470175917018
186,2023-01-12,12356.03,12073.718499999999,79699.78303225091,50291.08538782513,224.25673989386613
187,2023-01-11,12331.86,12061.3145,73194.86757025009,49827.8215374626,223.22146298566946
188,2023-01-10,12244.17,12055.0415,35769.58951225027,53921.52760615011,232.2100936784405
189,2023-01-09,12286.92,12055.482,53563.547844000044,63691.35993085012,252.37147210184062
190,2023-01-06,12135.06,12048.759,7447.86260099991,70260.93474345014,265.0677927313127
191,2023-01-05,12169.44,12053.4485,13454.028072250021,85147.12778101269,291.7998077124327
192,2023-01-04,12065.04,12060.289999999999,22.56250000001728,108288.36271591275,329.0719719391379
193,2023-01-03,12013.54,12062.995499999999,2445.846480249823,124749.78611171264,353.19935746220244
194,2022-12-30,11663.53,12058.5535,156043.56555224946,134476.32559871263,366.710138390954
195,2022-12-29,11616.55,12061.91,198345.52960000053,131241.11462990017,362.2721554714082
196,2022-12-28,11729.05,12057.592999999999,107940.50284899978,122397.85914210016,349.85405405983244
197,2022-12-27,12182.86,12049.6375,17748.234506249963,119479.90817770017,345.6586584735007
198,2022-12-23,12147.12,12019.2835,16342.17073225032,122109.3136573877,349.44143093998986
199,2022-12-22,12162.53,11990.102499999999,29731.24275625055,125547.52476577516,354.3268614793058
200,2022-12-21,12261.02,11959.929,90655.79028100021,129347.86914176258,359.6496477709419
201,2022-12-20,12199.83,11931.3795,72065.67095025044,136825.93584172515,369.8998997590093
202,2022-12-19,12100.72,11905.450499999999,38130.17763025013,146974.98997426254,383.37317325846175
203,2022-12-16,11962.97,11886.3385,5872.386792249924,163186.3333688,403.96328220371714
204,2022-12-15,11914.53,11870.7815,1913.9312522501325,179653.7507945,423.85581368491336
205,2022-12-14,11931.6,11857.8815,5434.417242250127,199159.39825790006,446.272784581247
206,2022-12-13,12107.95,11842.555,70434.50602500023,218721.02410703758,467.67619578832273
207,2022-12-12,12206.4,11812.612,155068.98894400036,230642.3964439,480.2524299198287
208,2022-12-09,12252.98,11772.182499999999,231166.23600625055,234717.53836581242,484.476561214072
209,2022-12-08,12152.46,11722.395999999999,184955.04409600026,230701.9545654999,480.31443301810106
210,2022-12-07,12228.85,11676.4265,305171.7233522509,229250.0812854998,478.80066967946044
211,2022-12-06,12306.27,11616.1405,476278.7267702513,216266.93689708723,465.0450912514691
212,2022-12-05,12119.15,11545.346000000001,329251.030415998,192844.20606437465,439.1403033933172
213,2022-12-02,11924.7,11480.879500000001,196976.63622024984,176418.04247002475,420.0214785817801
214,2022-11-29,11730.66,11428.436,91339.3461760001,166795.6314161248,408.4062088364044
215,2022-11-28,11530.21,11383.648,21480.41984399997,162252.46863633726,402.80574553540976
216,2022-11-25,11569.94,11347.271,49581.48356099994,161195.33243174976,401.491385252224
217,2022-11-24,11575.78,11310.57,70336.3441000005,158727.28289374977,398.40592728240097
218,2022-11-23,11563.5,11271.77,85106.39289999974,155217.03857326225,393.9759365408784
219,2022-11-22,11559.06,11233.886,105738.1302759994,150964.23339687477,388.54116049252076
220,2022-11-21,11690.03,11199.9105,240217.1242802507,146061.4179488748,382.1798240996963
221,2022-11-18,11681.25,11156.801000000001,275046.75360099867,134135.59655287475,366.24526830100444
222,2022-11-17,11718.48,11116.519,362357.0455209992,120876.22379462484,347.6725813098077
223,2022-11-16,11651.83,11072.8475,335220.7353062501,102986.83247937486,320.91561582349783
224,2022-11-15,11656.53,11030.4095,392026.8805202511,86229.50231906235,293.6486034686056
