Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2013-05,-0.42,-3.48,5.34122422149757,1.0362867892344605,-317.53355481487006,96.62362195,80.0761011737926,4.09385391014217,4.715909090909091,4.5,4.625909090909091,4.41,,5.225410568961486,1.5247718690992464,1.7839918128331016,-2.226424374516758,4.010416187349859
2013-06,-0.38,-3.6,-1.2397490080606337,1.0329638456916514,-493.7114895112999,96.50255678,1.11142201578152,3.5048907481561398,4.4625,4.25,4.3925,4.18,,1.1133930546007198,1.4395795554974882,1.8821754240587667,-1.6991141773740768,3.5812896014328435
2013-07,-0.89,-3.81,-2.4790842705724727,1.0157894732039243,-510.6637062046917,96.48512297,-9.98028566307964,3.137730651728276,4.184782608695652,4.0,4.0947826086956525,3.91,,2.88937652433372,1.3486378505634038,1.7839918128331016,-1.30356732333333,3.087559136166432
2013-08,-0.69,-3.8,-1.9054200170975737,1.0034522750491883,-446.8878613135533,95.48201596,2.43277602280606,3.5690073883092697,3.972727272727273,3.8,3.902727272727273,3.73,,-7.1362365513518045,1.2611041457594256,1.2916225266546228,-1.3028993179097232,2.594521844564346
2013-09,-0.65,-3.19,2.552360480118513,1.029708429307158,-247.7060666987216,95.79403218,30.2161590794617,4.424015105995216,3.761904761904762,3.6,3.701904761904762,3.54,,-5.615694332438926,1.2161884577275055,1.3902905168991433,-1.5690214517684151,2.959311968667558
2013-10,-0.78,-2.88,0.8770670201582283,1.0318882578662376,-219.83589003992557,97.28303967,124.330991283139,4.7400026384942695,3.5818181818181816,3.4,3.5118181818181817,3.33,,0.1607139891165898,1.1815286004586305,0.8959741371471801,-1.91737893333333,2.81335307048051
2013-11,-1.01,-3.32,-0.0917298161207606,1.0280610690277212,-239.7932772951605,96.22435138,-1010.05372842722,4.185226810270036,3.37,3.2,3.3000000000000003,3.1300000000000003,,9.019047307799166,1.208641146017723,0.8959741371471801,-2.158027435802539,3.054001572949719
2013-12,-0.95,-2.67,-1.3061304344127551,1.0119253026023731,-214.8728379534707,95.52895794,-227.10492165256,3.0103316921679326,3.1333333333333337,3.0,3.063333333333334,2.93,,5.056492399664347,1.2207662181552263,0.3992021269537457,-2.2444786585822807,2.6436807855360263
2014-01,-0.79,-3.53,2.1232401497946563,1.0296927743726083,-343.45922323320923,94.89328041,-485.590436210987,1.9594102834472225,2.9454545454545453,2.85,2.875454545454545,2.78,,-0.1603089058835327,1.2502369461829277,0.0,-2.13184693666667,2.13184693666667
2014-02,-0.83,-3.35,-6.399961177830871,0.96364635214156,-549.6412101119233,92.75435897,-53.782815210899,1.2974477178225694,2.79,2.7,2.73,2.64,,-0.8320322706104388,1.2984448313285826,0.0999500333083423,-1.857249957655512,1.957199990963854
