Date,Reserves,GDP in mil Local,FER/GDP
2008-11-30,102563,168286.90153366094,0.6094532555136813
2008-12-31,104149,164281.1,0.6339682410210304
2009-01-31,110866,143839.46907248072,0.7707620218212472
2009-02-28,110818,120126.83367651718,0.9225082906822932
2009-03-31,106004,101545.8,1.0439033421372426
2009-04-30,103739,100801.6327912286,1.029140075685629
2009-05-31,111993,111908.47836307676,1.0007552746508537
2009-06-30,111123,124474.8,0.8927349150189435
2009-07-31,114907,131845.3222311983,0.8715288343601907
2009-08-31,113550,136264.7299515903,0.8333044070930168
2009-09-30,114750,142724.8,0.803994820801991
2009-10-31,117724,154340.1794782771,0.7627566612786613
2009-11-30,118704,163705.7915972683,0.7251056840555955
2009-12-31,115521,162149.0,0.7124373261629736
2010-01-31,111441,143744.99635439334,0.7752687246605087
2010-02-28,118133,121307.70829725546,0.9738292945945687
2010-03-31,127235,103450.3,1.2299142680108226
2010-04-30,129627,102779.97274986123,1.2612087406899513
2010-05-31,129662,113913.62493107194,1.1382483884474508
2010-06-30,133895,127161.6,1.0529515199557098
2010-07-31,130133,136252.63340738256,0.9550861274799334
2010-08-31,130603,142196.52087874882,0.9184683225222181
2010-09-30,135379,148415.9,0.9121596810045285
2010-10-31,134206,157206.85500146542,0.8536905085897748
2010-11-30,137095,163476.76838114066,0.8386206881724476
2010-12-31,135562,161308.5,0.8403896880821532
2011-01-31,135766,146812.35135213466,0.9247587055830229
2011-02-28,132209,129689.648227976,1.0194260051318462
2011-03-31,131980,116301.2,1.1348120225758633
2011-04-30,127945,116136.17945567842,1.101680807821203
2011-05-31,132300,125343.07654543268,1.055503053270323
2011-06-30,143135,136795.5,1.0463428987064634
2011-07-31,136008,146007.66609543908,0.931512732428017
2011-08-31,135291,153468.04375256607,0.8815581191490744
2011-09-30,144086,161316.8,0.8931865744919315
2011-10-31,136995,170924.8538421767,0.801492567760182
2011-11-30,136261,176797.73089188288,0.7707169052035384
2011-12-31,141415,172789.8,0.8184221522335231
2012-01-31,140039,155103.19518295073,0.9028763065442857
2012-02-29,143597,134368.27233346942,1.0686823422394471
2012-03-31,149963,119588.1,1.2539960079640031
2012-04-30,149381,120824.84004004454,1.2363434534694289
2012-05-31,148352,132897.8783529446,1.1162856912283656
2012-06-30,145350,146537.8,0.9918942416222982
2012-07-31,145506,155985.6480870888,0.9328165878360944
2012-11-30,139916,188901.10306650773,0.7406838696475944
2012-12-31,137697,184784.3,0.7451769441451466
2013-01-31,137390,163906.70850413982,0.8382207247882714
2013-02-28,140446,139697.59412056385,1.0053573283358785
2013-03-31,142089,120758.7,1.1766357206561515
2013-04-30,139694,120164.7085020728,1.1625210241956383
