,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
2642,2013-03-13,46888.37,46435.3275,205247.5068062529,242441.73614021353,492.3837285494044
2643,2013-03-12,47010.4,46411.246,358985.51571600273,256118.02841441357,506.08104925437937
2644,2013-03-11,46933.03,46380.689,305080.5802810004,266681.10220906325,516.4117564589939
2645,2013-03-08,47074.39,46373.3745,491422.73124025186,259508.519443063,509.4197870549033
2646,2013-03-07,46745.26,46356.731999999996,150954.00678400442,246524.68088105012,496.5125183528106
2647,2013-03-06,46762.65,46335.952000000005,182071.18320399718,282058.7338943001,531.0920201756943
2648,2013-03-05,46676.09,46305.2765,137502.65178224744,341356.365246613,584.257105431002
2649,2013-03-04,46137.7,46305.210999999996,28059.935120999533,359466.08298531326,599.554904062433
2650,2013-03-01,46341.14,46326.1535,224.59518224997208,395074.48289051245,628.5495071118205
2651,2013-02-28,46280.36,46356.3755,5778.356240250204,408738.3433652001,639.3264763524189
2652,2013-02-27,46241.92,46384.365000000005,20290.57802500199,431266.66725763783,656.7089669386568
2653,2013-02-26,45868.35,46418.128500000006,302256.39906225837,452538.0617194998,672.7094928120904
2654,2013-02-25,46286.28,46491.131,41963.93220100098,442416.35130949935,665.1438576048788
2655,2013-02-22,45948.12,46543.020000000004,353906.01000000176,445661.2044402493,667.5786129290312
2656,2013-02-21,45879.9,46626.311499999996,557130.1273322421,428114.1685687617,654.3043394084757
2657,2013-02-20,46051.76,46729.4185,459221.0426222469,404187.1739651622,635.7571658779492
2658,2013-02-19,46490.89,46813.4925,104072.37300625056,381575.1561365623,617.7176993874809
2659,2013-02-18,46508.27,46882.588,140113.96512400493,378655.6699974998,615.3500385938883
2660,2013-02-15,46370.13,46954.005,340910.015625,376099.518955412,613.2695320618919
2661,2013-02-14,46211.54,47026.183000000005,663643.2174490059,361425.18504221196,601.1864810873677
2662,2013-02-13,46406.74,47098.6745,478773.3522902542,328853.3875038742,573.4573981595095
2663,2013-02-12,46399.26,47154.407,570246.9916089958,304936.5248738115,552.2105801900318
2664,2013-02-11,46786.74,47188.77099999999,161628.92496099632,283409.8805369741,532.3625461440485
2665,2013-02-08,46741.54,47222.939999999995,231745.9599999944,275401.5893264368,524.7871847963104
2666,2013-02-07,46329.66,47257.903000000006,861635.0670490041,264200.0231208871,514.0039135268205
2667,2013-02-06,46149.14,47318.7655,1368023.8102502546,225296.0684014496,474.65362992549586
2668,2013-02-05,46674.78,47381.6725,499697.0065562525,159443.65186424943,399.30395923938624
2669,2013-02-04,46556.55,47416.91499999999,740227.933224984,138374.93848863663,371.98782034985584
2670,2013-02-01,46945.58,47468.554000000004,273501.80467600207,118198.21902783727,343.79967863253927
2671,2013-01-31,46840.15,47515.683000000005,456344.83408900414,153912.8027382376,392.3172220770299
2672,2013-01-30,46917.19,47584.811499999996,445718.46726224176,239450.80642783796,489.33710918735557
2673,2013-01-29,47328.4,47644.3465,99822.19086224886,334060.449791176,577.9796274880076
2674,2013-01-28,47324.06,47650.956,106860.99481600041,384915.566476176,620.41564009636
