Date,Current_over_GDP,Curr Balance/GDP MA3
2019-05-31,0.802189865260008,0.24683702054691806
2019-06-30,0.776235820097788,0.6440466198623734
2019-07-31,0.294243292172825,0.6242229925102064
2019-08-31,-0.52694917685122,0.18117664513979706
2019-09-30,-1.42653569993437,-0.5530805282042556
2019-10-31,-2.01059401121774,-1.321359629334444
2019-11-30,-2.23466794264795,-1.890599217933354
2019-12-31,-1.95571385478955,-2.066991936218414
2020-01-31,-1.25800231026312,-1.8161280359002074
2020-02-29,-0.533889326164554,-1.249201830405742
2020-03-31,-0.542530783663992,-0.7781408066972227
2020-04-30,-1.98021128710079,-1.0188771323097794
2020-05-31,-3.54934512348476,-2.0240290647498482
2020-06-30,-3.70450874882789,-3.078021719804481
2020-07-31,-1.97440014899499,-3.0760846737692145
2020-08-31,0.396902596411769,-1.7606687671370376
2020-09-30,1.6041344430532,0.00887896348999225
2020-10-31,0.756121919401071,0.9190529862886793
2020-11-30,-0.821501477043946,0.5129182951367742
2020-12-31,-1.53844484315314,-0.5346081335986724
2021-01-31,-0.630101467735636,-0.9966825959775747
2021-02-28,1.22766882327658,-0.31362582920406606
2021-03-31,2.37303658234291,0.9902013126279505
2021-04-30,1.24463366329524,1.6151130229715758
2021-05-31,-0.903211081075879,0.9048197215207562
2021-06-30,-2.78222800752089,-0.8136018084338438
2021-07-31,-3.95246407133885,-2.5459677199785404
2021-08-31,-4.61092154228442,-3.781871207048054
2021-09-30,-5.48311864297307,-4.682168085532114
2021-10-31,-6.91210439587321,-5.668714860376901
2021-11-30,-8.18096574282086,-6.858729593889048
2021-12-31,-8.61039799378259,-7.9011560441588875
2022-01-31,-7.64863064255326,-8.146664793052237
2022-02-28,-6.03717724298909,-7.432068626441647
2022-03-31,-5.04905688821908,-6.244954924587144
2022-04-30,-4.35362291875271,-5.146619016653627
2022-05-31,-4.82294751463363,-4.7418757738684745
2022-06-30,-5.97339517707123,-5.04998853681919
2022-07-31,-7.75028596876563,-6.182209553490164
2022-08-31,-9.44898406982307,-7.724221738553311
2022-09-30,-11.2095210946408,-9.469597044409834
2022-10-31,-12.478151633529,-11.045552265997623
2022-11-30,-11.5358479622185,-11.741173563462768
2022-12-31,-9.99047865649154,-11.334826084079682
2023-01-31,-7.23631171905783,-9.58754611258929
2023-02-28,-3.82810916595658,-7.01829984716865
2023-03-31,-0.92943115081083,-3.997950678608414
2023-04-30,0.881151213921535,-1.2921297009486257
2023-05-31,1.26633676032185,0.40601894114418435
2023-06-30,1.04320311011588,1.063563694786421
