Date,Foreign Exchange Reserves USD mn
2007-04-30,43530.55
2007-05-31,43168.67
2007-06-30,42626.2
2007-07-31,43263.88
2007-08-31,45010.4
2007-09-30,47930.22
2007-10-31,49209.74
2007-11-30,49963.62
2007-12-31,51333.15
2008-01-31,54215.79
2008-02-29,56908.42
2008-03-31,59756.51
2008-04-30,60815.85
2008-05-31,59180.14
2008-06-30,59157.15
2008-07-31,60342.13
2008-08-31,60201.74
2008-09-30,62081.86
2008-10-31,58534.15
2008-11-30,57480.5
2008-12-31,53000.36
2009-01-31,50108.65
2009-02-28,48113.06
2009-03-31,47081.9
2009-04-30,45914.47
2009-05-31,44836.4
2009-06-30,43462.74
2009-07-31,43351.39
2009-08-31,41754.31
2009-09-30,43343.33
2009-10-31,43054.77
2009-11-30,43024.68
2009-12-31,42382.49
2010-01-31,42075.67
2010-02-28,41410.1
2010-03-31,40667.03
2010-04-30,40322.01
2010-05-31,38815.79
2010-06-30,37468.44
2010-07-31,37155.19
2010-08-31,36769.65
2010-09-30,34589.01
2010-10-31,33597.017
2010-11-30,33059.299
2010-12-31,32339.252
2011-01-31,33131.83
2011-02-28,33246.07
2011-03-31,33221.8
2011-04-30,32835.33
2011-05-31,32100.81
2011-06-30,31890.91
2011-07-31,32521.71
2011-08-31,32914.97
2011-09-30,31740.23
2011-10-31,32594.69
2011-11-30,32125.22
2011-12-31,32639.78
2012-01-31,34136.57
2012-02-29,33857.37
2012-03-31,35197.44
2012-04-30,36660.89
2012-05-31,36839.53
2012-06-30,35412.5
2012-07-31,36285.322
2012-08-31,39509.81
2012-09-30,40640.4
2012-10-31,42167.41
2012-11-30,42568.26
2012-12-31,43830.42
2013-01-31,45824.4437528
2013-02-28,47295.84557399
2013-03-31,47884.12451848
2013-04-30,47903.09
2013-05-31,47702.88
2013-06-30,44957.0
2013-07-31,45834.11
2013-08-31,45428.84
2013-09-30,44108.48
2013-10-31,44155.11
2013-11-30,43414.2
2013-12-31,42847.31
2014-01-31,40667.56
2014-02-28,36923.613
2014-03-31,37399.22
2014-04-30,37105.27
2014-05-31,35398.1
2014-06-30,37330.03
2014-07-31,39065.42
2014-08-31,38705.71
2014-09-30,38278.62
2014-10-31,36280.25
2014-11-30,35248.66
2014-12-31,34241.54
2015-01-31,32385.71
2015-02-28,29566.96
2015-03-31,29357.21
2015-04-30,29829.75
2015-05-31,28566.54
2015-06-30,28335.21
2015-07-31,31222.81
2015-08-31,30637.17
2015-09-30,29880.21
2015-10-31,30336.36
2015-11-30,29263.02
