"Date","Reserves","YoY_change"
"11/30/1981",2852.1,-46.928788076143
"12/31/1981",2441.6,-55.2984254851703
"01/31/1982",1679.9,-67.5563452364858
"02/28/1982",1726.6,-66.5620884654117
"03/31/1982",977.4,-82.4590369878502
"04/30/1982",773.8,-85.3538508129389
"05/31/1982",756.7,-87.6418807466806
"06/30/1982",858.3,-84.4372722162789
"07/31/1982",857.3,-83.7268896397251
"08/31/1982",804.5,-84.241557627517
"09/30/1982",871.5,-79.3718045824654
"10/31/1982",1072.8,-69.0639598592768
"11/30/1982",902.2,-68.3671680516111
"12/31/1982",1043.3,-57.2698230668414
"01/31/1983",1193.6,-28.948151675695
"02/28/1983",647,-62.5275107146994
"03/31/1983",562.2,-42.4800491098834
"04/30/1983",593.5,-23.300594468855
"05/31/1983",580.6,-23.2721025505484
"06/30/1983",641.9,-25.2126296166841
"07/31/1983",699.8,-18.371631867491
"08/31/1983",582.7,-27.5699192044748
"09/30/1983",557.2,-36.0642570281124
"10/31/1983",513.9,-52.0973154362416
"11/30/1983",374.6,-58.4792728884948
"12/31/1983",224.4,-78.4913256014569
"01/31/1984",224.4,-81.1997319034852
"02/29/1984",210.8,-67.41885625966
"03/31/1984",333.1,-40.7506225542512
"04/30/1984",478.4,-19.3934288121314
"05/31/1984",443,-23.6996210816397
"06/30/1984",582.5,-9.25377784701667
"07/31/1984",532.9,-23.849671334667
"08/31/1984",315.9,-45.7868542989532
"09/30/1984",479.9,-13.872936109117
"10/31/1984",705.6,37.3029772329247
"11/30/1984",463.1,23.6252002135611
"12/31/1984",710.1,216.44385026738
"01/31/1985",567.1,152.718360071301
"02/28/1985",779.4,269.734345351044
"03/31/1985",804.3,141.45902131492
"04/30/1985",1191.9,149.142976588629
"05/31/1985",1148.6,159.277652370203
"06/30/1985",1031.6,77.0987124463519
"07/31/1985",804.7,51.0039407018202
"08/31/1985",758,139.949351060462
"09/30/1985",784,63.3673682017087
"10/31/1985",1017.7,44.2318594104308
"11/30/1985",1236.5,167.004966529907
"12/31/1985",1657.9,133.474158569216
"01/31/1986",1308.9,130.805854346676
"02/28/1986",1320.3,69.3995381062356
"03/31/1986",1030.8,28.1611339052592
"04/30/1986",893.1,-25.0692172162094
"05/31/1986",859.7,-25.1523593940449
"06/30/1986",986.2,-4.40093059325319
"07/31/1986",828.8,2.99490493351558
"08/31/1986",948.1,25.0791556728232
"09/30/1986",2120.05,170.414540816327
"10/31/1986",3292,223.474501326521
"11/30/1986",2497.5,101.981399110392
"12/31/1986",2836.6,71.095964774715
"01/31/1987",2287.019221,74.7283383757353
"02/28/1987",2558.1,93.7514201317882
"03/31/1987",9449.5051494,816.715672235157
"04/30/1987",2651.8,196.920837532191
"05/31/1987",4241.6728656,393.389887821333
"06/30/1987",5831.5457312,491.31471620361
"07/31/1987",3976.6,379.802123552124
"08/31/1987",4889,415.662904756882
"09/30/1987",7237.7380006,241.394684115941
"10/31/1987",7255.0938,120.385595382746
"11/30/1987",4671.6,87.0510510510511
